1463674590.44 , serbatoio , 71.7470729271 , al_fondi , 36.4855544456 , al_generico , 5.65899100899 , al_calcif , 0.0 , premacinato , 5.63242757243 , tazza1 , 70.5015984016 , tazza2 , 41.0898601399 , vapore , 0.0 
1463674590.45 , serbatoio , 71.7502195609 , al_fondi , 36.5227245509 , al_generico , 5.65841317365 , al_calcif , 0.0 , premacinato , 5.63655688623 , tazza1 , 70.4986826347 , tazza2 , 41.0586027944 , vapore , 0.0 
1463674590.45 , serbatoio , 71.7472283151 , al_fondi , 36.4863110668 , al_generico , 5.66231306082 , al_calcif , 0.0 , premacinato , 5.64047856431 , tazza1 , 70.495772682 , tazza2 , 41.0273080758 , vapore , 0.0 
1463674590.46 , serbatoio , 71.7441434263 , al_fondi , 36.4499701195 , al_generico , 5.66163346614 , al_calcif , 0.0 , premacinato , 5.63953187251 , tazza1 , 70.4988047809 , tazza2 , 41.0609462151 , vapore , 0.0 
1463674590.46 , serbatoio , 71.7472835821 , al_fondi , 36.4870646766 , al_generico , 5.66095522388 , al_calcif , 0.0 , premacinato , 5.63887562189 , tazza1 , 70.5018308458 , tazza2 , 41.0946169154 , vapore , 0.0 
1463674590.47 , serbatoio , 71.744304175 , al_fondi , 36.4507952286 , al_generico , 5.66465208748 , al_calcif , 0.0 , premacinato , 5.6427833002 , tazza1 , 70.4988270378 , tazza2 , 41.0632803181 , vapore , 0.0 
1463674590.48 , serbatoio , 71.7474379345 , al_fondi , 36.4878152929 , al_generico , 5.66445878848 , al_calcif , 0.0 , premacinato , 5.64261171797 , tazza1 , 70.5018470705 , tazza2 , 41.0968818272 , vapore , 0.0 
1463674590.48 , serbatoio , 71.7506646825 , al_fondi , 36.5247619048 , al_generico , 5.6639781746 , al_calcif , 0.0 , premacinato , 5.64195436508 , tazza1 , 70.5048611111 , tazza2 , 41.1303174603 , vapore , 0.0 
1463674590.49 , serbatoio , 71.7537859267 , al_fondi , 36.5616352825 , al_generico , 5.66311199207 , al_calcif , 0.0 , premacinato , 5.64119920714 , tazza1 , 70.5078691774 , tazza2 , 41.0990386521 , vapore , 0.0 
1463674590.49 , serbatoio , 71.7508118812 , al_fondi , 36.5254356436 , al_generico , 5.66688118812 , al_calcif , 0.0 , premacinato , 5.64518811881 , tazza1 , 70.504970297 , tazza2 , 41.0678217822 , vapore , 0.0 
1463674590.5 , serbatoio , 71.7478437191 , al_fondi , 36.4893076162 , al_generico , 5.67074183976 , al_calcif , 0.0 , premacinato , 5.64443125618 , tazza1 , 70.5079723046 , tazza2 , 41.1012858556 , vapore , 0.0 
1463674590.5 , serbatoio , 71.750958498 , al_fondi , 36.5260079051 , al_generico , 5.67015810277 , al_calcif , 0.0 , premacinato , 5.64367588933 , tazza1 , 70.5110573123 , tazza2 , 41.1346837945 , vapore , 0.0 
1463674590.51 , serbatoio , 71.754165844 , al_fondi , 36.5627344521 , al_generico , 5.66947680158 , al_calcif , 0.0 , premacinato , 5.64755182626 , tazza1 , 70.5081638697 , tazza2 , 41.1035241856 , vapore , 0.0 
1463674590.51 , serbatoio , 71.7511045365 , al_fondi , 36.5266765286 , al_generico , 5.67342209073 , al_calcif , 0.0 , premacinato , 5.65142011834 , tazza1 , 70.5051775148 , tazza2 , 41.0724260355 , vapore , 0.0 
1463674590.52 , serbatoio , 71.7481477833 , al_fondi , 36.4906896552 , al_generico , 5.67726108374 , al_calcif , 0.0 , premacinato , 5.65528078818 , tazza1 , 70.5081674877 , tazza2 , 41.1056551724 , vapore , 0.0 
1463674590.52 , serbatoio , 71.7511515748 , al_fondi , 36.5273425197 , al_generico , 5.67667322835 , al_calcif , 0.0 , premacinato , 5.65471456693 , tazza1 , 70.5112401575 , tazza2 , 41.1388188976 , vapore , 0.0 
1463674590.53 , serbatoio , 71.7542477876 , al_fondi , 36.5639233038 , al_generico , 5.67608652901 , al_calcif , 0.0 , premacinato , 5.65856440511 , tazza1 , 70.508259587 , tazza2 , 41.1077777778 , vapore , 0.0 
1463674590.53 , serbatoio , 71.7512966601 , al_fondi , 36.5280058939 , al_generico , 5.68049115914 , al_calcif , 0.0 , premacinato , 5.66240667976 , tazza1 , 70.5055697446 , tazza2 , 41.0766994106 , vapore , 0.0 
1463674590.54 , serbatoio , 71.7483513248 , al_fondi , 36.5645142296 , al_generico , 5.67980372915 , al_calcif , 0.0 , premacinato , 5.66173699706 , tazza1 , 70.5086359176 , tazza2 , 41.1097939156 , vapore , 0.0 
1463674590.54 , serbatoio , 71.7514411765 , al_fondi , 36.6009509804 , al_generico , 5.6795 , al_calcif , 0.0 , premacinato , 5.66116666667 , tazza1 , 70.5116960784 , tazza2 , 41.1428235294 , vapore , 0.0 
1463674590.55 , serbatoio , 71.7544270323 , al_fondi , 36.6373163565 , al_generico , 5.67881488737 , al_calcif , 0.0 , premacinato , 5.66499510284 , tazza1 , 70.5087267385 , tazza2 , 41.1119000979 , vapore , 0.0 
1463674590.55 , serbatoio , 71.7514872798 , al_fondi , 36.6014677104 , al_generico , 5.6826223092 , al_calcif , 0.0 , premacinato , 5.66881604697 , tazza1 , 70.5058610568 , tazza2 , 41.0811350294 , vapore , 0.0 
1463674590.56 , serbatoio , 71.7485532747 , al_fondi , 36.6377614858 , al_generico , 5.68203323558 , al_calcif , 0.0 , premacinato , 5.66824046921 , tazza1 , 70.5088269795 , tazza2 , 41.1140957967 , vapore , 0.0 
1463674590.56 , serbatoio , 71.7516308594 , al_fondi , 36.673984375 , al_generico , 5.6814453125 , al_calcif , 0.0 , premacinato , 5.66756835937 , tazza1 , 70.511875 , tazza2 , 41.1469921875 , vapore , 0.0 
1463674590.57 , serbatoio , 71.748702439 , al_fondi , 36.638204878 , al_generico , 5.68571707317 , al_calcif , 0.0 , premacinato , 5.67127804878 , tazza1 , 70.5089170732 , tazza2 , 41.1161853659 , vapore , 0.0 
1463674590.58 , serbatoio , 71.7456822612 , al_fondi , 36.6024951267 , al_generico , 5.68950292398 , al_calcif , 0.0 , premacinato , 5.6706042885 , tazza1 , 70.511871345 , tazza2 , 41.1491130604 , vapore , 0.0 
1463674590.58 , serbatoio , 71.7487536514 , al_fondi , 36.6386465433 , al_generico , 5.68890944499 , al_calcif , 0.0 , premacinato , 5.66993184031 , tazza1 , 70.5149074976 , tazza2 , 41.18187926 , vapore , 0.0 
1463674590.59 , serbatoio , 71.7517217899 , al_fondi , 36.6747276265 , al_generico , 5.68793774319 , al_calcif , 0.0 , premacinato , 5.67372568093 , tazza1 , 70.5119552529 , tazza2 , 41.1511284047 , vapore , 0.0 
1463674590.59 , serbatoio , 71.7488046647 , al_fondi , 36.6390864917 , al_generico , 5.69171039845 , al_calcif , 0.0 , premacinato , 5.67741496599 , tazza1 , 70.5091059281 , tazza2 , 41.1204373178 , vapore , 0.0 
1463674590.6 , serbatoio , 71.7458932039 , al_fondi , 36.6035145631 , al_generico , 5.6909223301 , al_calcif , 0.0 , premacinato , 5.6766407767 , tazza1 , 70.5121359223 , tazza2 , 41.1532330097 , vapore , 0.0 
1463674590.6 , serbatoio , 71.7490494665 , al_fondi , 36.6395247333 , al_generico , 5.69023278371 , al_calcif , 0.0 , premacinato , 5.67586808923 , tazza1 , 70.5092919496 , tazza2 , 41.1226964113 , vapore , 0.0 
1463674590.61 , serbatoio , 71.7523934109 , al_fondi , 36.6040213178 , al_generico , 5.69399224806 , al_calcif , 0.0 , premacinato , 5.67973837209 , tazza1 , 70.5063565891 , tazza2 , 41.0926937984 , vapore , 0.0 
1463674590.61 , serbatoio , 71.7494869313 , al_fondi , 36.5685866409 , al_generico , 5.69774443369 , al_calcif , 0.0 , premacinato , 5.68360116167 , tazza1 , 70.5035237173 , tazza2 , 41.0622749274 , vapore , 0.0 
1463674590.62 , serbatoio , 71.7525338491 , al_fondi , 36.6045261122 , al_generico , 5.69705029014 , al_calcif , 0.0 , premacinato , 5.68282398453 , tazza1 , 70.5064603482 , tazza2 , 41.095 , vapore , 0.0 
1463674590.62 , serbatoio , 71.7555748792 , al_fondi , 36.6403961353 , al_generico , 5.69645410628 , al_calcif , 0.0 , premacinato , 5.68224154589 , tazza1 , 70.5036328502 , tazza2 , 41.0645410628 , vapore , 0.0 
1463674590.63 , serbatoio , 71.7526737452 , al_fondi , 36.6050289575 , al_generico , 5.70038610039 , al_calcif , 0.0 , premacinato , 5.68599420849 , tazza1 , 70.5008108108 , tazza2 , 41.0341409266 , vapore , 0.0 
1463674590.63 , serbatoio , 71.7497782064 , al_fondi , 36.6408293153 , al_generico , 5.69959498554 , al_calcif , 0.0 , premacinato , 5.68513018322 , tazza1 , 70.5037415622 , tazza2 , 41.0667020251 , vapore , 0.0 
1463674590.64 , serbatoio , 71.7528131021 , al_fondi , 36.6766570328 , al_generico , 5.69899807322 , al_calcif , 0.0 , premacinato , 5.68435452794 , tazza1 , 70.5066666667 , tazza2 , 41.0364547206 , vapore , 0.0 
1463674590.64 , serbatoio , 71.7558421559 , al_fondi , 36.712319538 , al_generico , 5.70272377286 , al_calcif , 0.0 , premacinato , 5.68809432146 , tazza1 , 70.5042252166 , tazza2 , 41.0059865255 , vapore , 0.0 
1463674590.65 , serbatoio , 71.7529519231 , al_fondi , 36.6770192308 , al_generico , 5.70644230769 , al_calcif , 0.0 , premacinato , 5.69192307692 , tazza1 , 70.5014134615 , tazza2 , 41.0385769231 , vapore , 0.0 
1463674590.65 , serbatoio , 71.755975024 , al_fondi , 36.7126128722 , al_generico , 5.70564841499 , al_calcif , 0.0 , premacinato , 5.69123919308 , tazza1 , 70.5044188281 , tazza2 , 41.0710086455 , vapore , 0.0 
1463674590.66 , serbatoio , 71.7589923225 , al_fondi , 36.7481381958 , al_generico , 5.70504798464 , al_calcif , 0.0 , premacinato , 5.69505758157 , tazza1 , 70.5015163148 , tazza2 , 41.0408733205 , vapore , 0.0 
1463674590.66 , serbatoio , 71.7561073826 , al_fondi , 36.7129050815 , al_generico , 5.7087535954 , al_calcif , 0.0 , premacinato , 5.69877277085 , tazza1 , 70.4986193672 , tazza2 , 41.073240652 , vapore , 0.0 
1463674590.67 , serbatoio , 71.7532279693 , al_fondi , 36.6777394636 , al_generico , 5.708151341 , al_calcif , 0.0 , premacinato , 5.69798850575 , tazza1 , 70.5016187739 , tazza2 , 41.105545977 , vapore , 0.0 
1463674590.67 , serbatoio , 71.7562392344 , al_fondi , 36.7131961722 , al_generico , 5.70764593301 , al_calcif , 0.0 , premacinato , 5.69730143541 , tazza1 , 70.5045263158 , tazza2 , 41.1377894737 , vapore , 0.0 
