1463675516.12 , serbatoio , 71.82 , al_fondi , 36.88 , al_generico , 5.25 , al_calcif , 0.0 , premacinato , 5.21 , tazza1 , 70.62 , tazza2 , 43.38 , vapore , 0.0 
1463675516.12 , serbatoio , 71.84 , al_fondi , 37.12 , al_generico , 5.24 , al_calcif , 0.0 , premacinato , 5.2 , tazza1 , 70.64 , tazza2 , 43.59 , vapore , 0.0 
1463675516.12 , serbatoio , 71.82 , al_fondi , 36.88 , al_generico , 5.26 , al_calcif , 0.0 , premacinato , 5.21 , tazza1 , 70.62 , tazza2 , 43.34 , vapore , 0.0 
1463675516.12 , serbatoio , 71.8 , al_fondi , 37.12 , al_generico , 5.24 , al_calcif , 0.0 , premacinato , 5.2 , tazza1 , 70.64 , tazza2 , 43.55 , vapore , 0.0 
1463675516.13 , serbatoio , 71.82 , al_fondi , 37.35 , al_generico , 5.23 , al_calcif , 0.0 , premacinato , 5.19 , tazza1 , 70.66 , tazza2 , 43.31 , vapore , 0.0 
1463675516.13 , serbatoio , 71.8 , al_fondi , 37.11 , al_generico , 5.24 , al_calcif , 0.0 , premacinato , 5.2 , tazza1 , 70.64 , tazza2 , 43.08 , vapore , 0.0 
1463675516.13 , serbatoio , 71.82 , al_fondi , 37.35 , al_generico , 5.23 , al_calcif , 0.0 , premacinato , 5.18 , tazza1 , 70.66 , tazza2 , 43.29 , vapore , 0.0 
1463675516.13 , serbatoio , 71.8 , al_fondi , 37.11 , al_generico , 5.24 , al_calcif , 0.0 , premacinato , 5.2 , tazza1 , 70.64 , tazza2 , 43.06 , vapore , 0.0 
1463675516.13 , serbatoio , 71.78 , al_fondi , 37.34 , al_generico , 5.23 , al_calcif , 0.0 , premacinato , 5.18 , tazza1 , 70.66 , tazza2 , 43.26 , vapore , 0.0 
1463675516.13 , serbatoio , 71.8 , al_fondi , 37.57 , al_generico , 5.21 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.67 , tazza2 , 43.03 , vapore , 0.0 
1463675516.14 , serbatoio , 71.79 , al_fondi , 37.34 , al_generico , 5.23 , al_calcif , 0.0 , premacinato , 5.18 , tazza1 , 70.65 , tazza2 , 42.81 , vapore , 0.0 
1463675516.14 , serbatoio , 71.8 , al_fondi , 37.56 , al_generico , 5.21 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.67 , tazza2 , 43.01 , vapore , 0.0 
1463675516.14 , serbatoio , 71.79 , al_fondi , 37.33 , al_generico , 5.22 , al_calcif , 0.0 , premacinato , 5.18 , tazza1 , 70.65 , tazza2 , 42.78 , vapore , 0.0 
1463675516.14 , serbatoio , 71.77 , al_fondi , 37.55 , al_generico , 5.21 , al_calcif , 0.0 , premacinato , 5.17 , tazza1 , 70.67 , tazza2 , 42.98 , vapore , 0.0 
1463675516.14 , serbatoio , 71.78 , al_fondi , 37.77 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.69 , tazza2 , 42.76 , vapore , 0.0 
1463675516.14 , serbatoio , 71.77 , al_fondi , 37.54 , al_generico , 5.21 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.67 , tazza2 , 42.55 , vapore , 0.0 
1463675516.15 , serbatoio , 71.78 , al_fondi , 37.76 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.69 , tazza2 , 42.74 , vapore , 0.0 
1463675516.15 , serbatoio , 71.77 , al_fondi , 37.54 , al_generico , 5.21 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.67 , tazza2 , 42.53 , vapore , 0.0 
1463675516.15 , serbatoio , 71.75 , al_fondi , 37.75 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.68 , tazza2 , 42.72 , vapore , 0.0 
1463675516.15 , serbatoio , 71.77 , al_fondi , 37.97 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.66 , tazza2 , 42.51 , vapore , 0.0 
1463675516.15 , serbatoio , 71.75 , al_fondi , 37.74 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.65 , tazza2 , 42.3 , vapore , 0.0 
1463675516.15 , serbatoio , 71.77 , al_fondi , 37.95 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.66 , tazza2 , 42.49 , vapore , 0.0 
1463675516.16 , serbatoio , 71.75 , al_fondi , 37.73 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.65 , tazza2 , 42.29 , vapore , 0.0 
1463675516.16 , serbatoio , 71.73 , al_fondi , 37.51 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.13 , tazza1 , 70.66 , tazza2 , 42.48 , vapore , 0.0 
1463675516.16 , serbatoio , 71.75 , al_fondi , 37.72 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.64 , tazza2 , 42.28 , vapore , 0.0 
1463675516.16 , serbatoio , 71.73 , al_fondi , 37.51 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.62 , tazza2 , 42.08 , vapore , 0.0 
1463675516.16 , serbatoio , 71.75 , al_fondi , 37.71 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.64 , tazza2 , 42.26 , vapore , 0.0 
1463675516.16 , serbatoio , 71.73 , al_fondi , 37.5 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.62 , tazza2 , 42.07 , vapore , 0.0 
1463675516.16 , serbatoio , 71.75 , al_fondi , 37.7 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.64 , tazza2 , 42.25 , vapore , 0.0 
1463675516.17 , serbatoio , 71.77 , al_fondi , 37.49 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.62 , tazza2 , 42.06 , vapore , 0.0 
1463675516.17 , serbatoio , 71.75 , al_fondi , 37.28 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.18 , tazza1 , 70.6 , tazza2 , 42.24 , vapore , 0.0 
1463675516.17 , serbatoio , 71.77 , al_fondi , 37.48 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.62 , tazza2 , 42.42 , vapore , 0.0 
1463675516.17 , serbatoio , 71.75 , al_fondi , 37.28 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.18 , tazza1 , 70.6 , tazza2 , 42.23 , vapore , 0.0 
1463675516.17 , serbatoio , 71.77 , al_fondi , 37.48 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.62 , tazza2 , 42.41 , vapore , 0.0 
1463675516.17 , serbatoio , 71.76 , al_fondi , 37.27 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.17 , tazza1 , 70.6 , tazza2 , 42.21 , vapore , 0.0 
1463675516.18 , serbatoio , 71.74 , al_fondi , 37.07 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.62 , tazza2 , 42.39 , vapore , 0.0 
1463675516.18 , serbatoio , 71.76 , al_fondi , 37.27 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.64 , tazza2 , 42.57 , vapore , 0.0 
1463675516.18 , serbatoio , 71.74 , al_fondi , 37.07 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.62 , tazza2 , 42.38 , vapore , 0.0 
1463675516.18 , serbatoio , 71.76 , al_fondi , 37.27 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.64 , tazza2 , 42.55 , vapore , 0.0 
1463675516.18 , serbatoio , 71.74 , al_fondi , 37.07 , al_generico , 5.2 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.62 , tazza2 , 42.36 , vapore , 0.0 
1463675516.18 , serbatoio , 71.73 , al_fondi , 36.87 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.53 , vapore , 0.0 
1463675516.19 , serbatoio , 71.74 , al_fondi , 37.07 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.65 , tazza2 , 42.35 , vapore , 0.0 
1463675516.19 , serbatoio , 71.73 , al_fondi , 36.87 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.17 , vapore , 0.0 
1463675516.19 , serbatoio , 71.74 , al_fondi , 37.06 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.65 , tazza2 , 42.34 , vapore , 0.0 
1463675516.19 , serbatoio , 71.73 , al_fondi , 36.87 , al_generico , 5.19 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.16 , vapore , 0.0 
1463675516.19 , serbatoio , 71.75 , al_fondi , 37.06 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.14 , tazza1 , 70.65 , tazza2 , 42.32 , vapore , 0.0 
1463675516.19 , serbatoio , 71.76 , al_fondi , 37.25 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.15 , vapore , 0.0 
1463675516.2 , serbatoio , 71.75 , al_fondi , 37.06 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.61 , tazza2 , 41.97 , vapore , 0.0 
1463675516.2 , serbatoio , 71.77 , al_fondi , 37.25 , al_generico , 5.17 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.14 , vapore , 0.0 
1463675516.2 , serbatoio , 71.75 , al_fondi , 37.06 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.61 , tazza2 , 41.96 , vapore , 0.0 
1463675516.2 , serbatoio , 71.77 , al_fondi , 37.24 , al_generico , 5.16 , al_calcif , 0.0 , premacinato , 5.15 , tazza1 , 70.63 , tazza2 , 42.13 , vapore , 0.0 
1463675516.2 , serbatoio , 71.78 , al_fondi , 37.06 , al_generico , 5.18 , al_calcif , 0.0 , premacinato , 5.16 , tazza1 , 70.61 , tazza2 , 41.95 , vapore , 0.0 
