trim_pot: 322 ,pot_adjust: 322 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 224 ,pot_adjust: 98 ,last_read: 322 ,Percentage:22% ,trim_pot_changed True
trim_pot: 112 ,pot_adjust: 112 ,last_read: 224 ,Percentage:11% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 112 ,last_read: 112 ,Percentage:0% ,trim_pot_changed True
trim_pot: 4 ,pot_adjust: 4 ,last_read: 0 ,Percentage:0% ,trim_pot_changed True
trim_pot: 14 ,pot_adjust: 10 ,last_read: 4 ,Percentage:1% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 14 ,last_read: 14 ,Percentage:0% ,trim_pot_changed True
trim_pot: 12 ,pot_adjust: 12 ,last_read: 0 ,Percentage:1% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 12 ,last_read: 12 ,Percentage:0% ,trim_pot_changed True
trim_pot: 3 ,pot_adjust: 3 ,last_read: 0 ,Percentage:0% ,trim_pot_changed True
trim_pot: 11 ,pot_adjust: 8 ,last_read: 3 ,Percentage:1% ,trim_pot_changed True
trim_pot: 13 ,pot_adjust: 2 ,last_read: 11 ,Percentage:1% ,trim_pot_changed True
trim_pot: 14 ,pot_adjust: 1 ,last_read: 13 ,Percentage:1% ,trim_pot_changed True
trim_pot: 12 ,pot_adjust: 2 ,last_read: 14 ,Percentage:1% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 12 ,last_read: 12 ,Percentage:0% ,trim_pot_changed True
trim_pot: 11 ,pot_adjust: 11 ,last_read: 0 ,Percentage:1% ,trim_pot_changed True
trim_pot: 11 ,pot_adjust: 0 ,last_read: 11 ,Percentage:1% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 11 ,last_read: 11 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 15 ,pot_adjust: 15 ,last_read: 0 ,Percentage:1% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 15 ,last_read: 15 ,Percentage:0% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
