trim_pot: 0 ,pot_adjust: 0 ,last_read: 0 ,Percentage:0% ,trim_pot_changed False
trim_pot: 398 ,pot_adjust: 398 ,last_read: 0 ,Percentage:39% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 398 ,last_read: 398 ,Percentage:0% ,trim_pot_changed True
trim_pot: 392 ,pot_adjust: 392 ,last_read: 0 ,Percentage:38% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 392 ,last_read: 392 ,Percentage:0% ,trim_pot_changed True
trim_pot: 367 ,pot_adjust: 367 ,last_read: 0 ,Percentage:36% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 367 ,last_read: 367 ,Percentage:0% ,trim_pot_changed True
trim_pot: 343 ,pot_adjust: 343 ,last_read: 0 ,Percentage:33% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 343 ,last_read: 343 ,Percentage:0% ,trim_pot_changed True
trim_pot: 318 ,pot_adjust: 318 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 318 ,last_read: 318 ,Percentage:0% ,trim_pot_changed True
trim_pot: 378 ,pot_adjust: 378 ,last_read: 0 ,Percentage:37% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 378 ,last_read: 378 ,Percentage:0% ,trim_pot_changed True
trim_pot: 324 ,pot_adjust: 324 ,last_read: 0 ,Percentage:32% ,trim_pot_changed True
trim_pot: 0 ,pot_adjust: 324 ,last_read: 324 ,Percentage:0% ,trim_pot_changed True
trim_pot: 317 ,pot_adjust: 317 ,last_read: 0 ,Percentage:31% ,trim_pot_changed True
trim_pot: 11 ,pot_adjust: 306 ,last_read: 317 ,Percentage:1% ,trim_pot_changed True
trim_pot: 346 ,pot_adjust: 335 ,last_read: 11 ,Percentage:34% ,trim_pot_changed True
trim_pot: 2 ,pot_adjust: 344 ,last_read: 346 ,Percentage:0% ,trim_pot_changed True
trim_pot: 293 ,pot_adjust: 291 ,last_read: 2 ,Percentage:29% ,trim_pot_changed True
trim_pot: 23 ,pot_adjust: 270 ,last_read: 293 ,Percentage:2% ,trim_pot_changed True
trim_pot: 213 ,pot_adjust: 190 ,last_read: 23 ,Percentage:21% ,trim_pot_changed True
trim_pot: 77 ,pot_adjust: 136 ,last_read: 213 ,Percentage:8% ,trim_pot_changed True
trim_pot: 91 ,pot_adjust: 14 ,last_read: 77 ,Percentage:9% ,trim_pot_changed True
