1467727090.63 , serbatoio , 29.88 , al_fondi , 2.0 , al_generico , 1.72 , al_calcif , 0.01 , premacinato , 0.01 , tazza1 , 30.83 , tazza2 , 1.91 , vapore , 2.0 
1467727090.75 , serbatoio , 29.31 , al_fondi , 2.5 , al_generico , 2.24 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.13 , tazza2 , 1.47 , vapore , 1.9 
1467727090.88 , serbatoio , 30.9 , al_fondi , 2.2 , al_generico , 2.03 , al_calcif , 0.01 , premacinato , 0.0 , tazza1 , 31.27 , tazza2 , 1.76 , vapore , 1.72 
1467727091.01 , serbatoio , 30.33 , al_fondi , 2.25 , al_generico , 2.08 , al_calcif , 0.01 , premacinato , 0.01 , tazza1 , 32.1 , tazza2 , 1.7 , vapore , 1.61 
1467727091.14 , serbatoio , 31.27 , al_fondi , 1.88 , al_generico , 1.85 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 31.21 , tazza2 , 2.08 , vapore , 1.98 
1467727091.26 , serbatoio , 31.01 , al_fondi , 1.77 , al_generico , 1.6 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.83 , tazza2 , 2.01 , vapore , 1.93 
1467727091.39 , serbatoio , 31.64 , al_fondi , 1.45 , al_generico , 1.49 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.57 , tazza2 , 2.08 , vapore , 2.26 
1467727091.52 , serbatoio , 29.81 , al_fondi , 2.03 , al_generico , 1.84 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.3 , tazza2 , 1.49 , vapore , 1.64 
1467727091.64 , serbatoio , 31.48 , al_fondi , 2.16 , al_generico , 1.93 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 31.48 , tazza2 , 1.37 , vapore , 1.54 
1467727091.77 , serbatoio , 30.72 , al_fondi , 2.57 , al_generico , 2.43 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.03 , tazza2 , 2.15 , vapore , 1.86 
1467727091.9 , serbatoio , 32.68 , al_fondi , 2.12 , al_generico , 2.06 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 30.96 , tazza2 , 2.06 , vapore , 2.0 
1467727092.03 , serbatoio , 31.21 , al_fondi , 2.21 , al_generico , 2.15 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 31.83 , tazza2 , 1.72 , vapore , 1.86 
1467727092.15 , serbatoio , 30.78 , al_fondi , 2.42 , al_generico , 2.3 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 31.33 , tazza2 , 2.24 , vapore , 2.02 
1467727092.28 , serbatoio , 31.08 , al_fondi , 2.14 , al_generico , 2.02 , al_calcif , 0.0 , premacinato , 0.0 , tazza1 , 31.29 , tazza2 , 2.53 , vapore , 2.24 
